emprunt_id,membre_id,livre_id,titre_livre,categorie,date_emprunt,date_retour,duree_prevue_jours,statut,ville_membre,note_lecteur
1,186,778,Fahrenheit 451,Science-Fiction,2025-01-04,2025-01-11,7,rendu,Marrakech,
2,500,232,Ibn Battuta,Biographie,2025-04-22,,30,perdu,Tanger,
3,671,644,Les Enquetes d'Hercule Poirot,Policier,2023-01-26,2023-02-06,14,rendu,Agadir,
4,705,196,Blake et Mortimer,BD,2025-06-05,2025-06-16,14,rendu,Meknes,4.3
5,628,112,Harry Potter - Tome 4,Jeunesse,2023-01-24,2023-02-01,14,rendu,Oujda,
6,77,1007,Steve Jobs,Biographie,2024-10-18,2024-10-23,14,rendu,Casablanca,
7,564,776,Ibn Battuta,Biographie,2025-04-05,2025-05-04,14,rendu_en_retard,Oujda,3.0
8,324,244,Tintin,BD,2025-10-15,2025-11-05,7,rendu_en_retard,Casablanca,
9,1,187,Le Contrat Social,Essai,2026-05-22,2026-06-09,21,rendu,Fes,
10,468,699,L'Art de la Guerre,Essai,2025-01-14,2025-01-21,7,rendu,Oujda,4.1
11,615,969,Le Journal d'un Gars - Tome 2,Jeunesse,2026-09-07,2026-09-11,21,rendu,Rabat,
12,228,5,Le Pragmatic Programmer - Tome 5,Informatique,2024-11-30,2024-12-10,21,rendu,Agadir,
13,47,337,Sherlock Holmes,Policier,2025-10-05,2025-10-17,14,rendu,Meknes,3.4
14,193,248,Le Capital,Essai,2025-03-15,2025-03-28,14,rendu,Fes,
15,111,849,Ibn Battuta,Biographie,2023-04-06,2023-04-10,7,rendu,Oujda,
16,517,276,Odes,Poesie,2025-10-18,2025-10-19,7,rendu,Meknes,
17,495,1042,La Planete des Singes,Science-Fiction,2023-12-29,2024-01-01,14,rendu,Rabat,3.4
18,330,1033,Fahrenheit 451,Science-Fiction,2025-02-26,2025-03-28,30,rendu,Fes,4.9
19,302,928,Fondation,Science-Fiction,2023-10-01,2023-10-13,14,rendu,Tanger,
20,561,643,Tintin,BD,2026-02-07,2026-02-17,14,rendu,Tanger,
21,689,272,Dune,Science-Fiction,2026-08-24,2026-09-05,14,rendu,Agadir,
22,780,722,Les Miserables,Roman,2026-02-25,2026-03-19,30,rendu,Meknes,
23,547,586,Blake et Mortimer,BD,2025-05-15,2025-05-16,7,rendu,Meknes,3.7
24,205,547,Sapiens,Histoire,2023-11-26,2023-12-01,21,rendu,Casablanca,
25,303,418,Fahrenheit 451,Science-Fiction,2026-01-13,2026-01-17,7,rendu,Rabat,
26,692,1151,Histoire de l'Islam,Histoire,2024-04-04,2024-04-30,30,rendu,Tanger,
27,49,782,L'Art de la Guerre - Tome 3,Essai,2025-03-04,2025-03-26,30,rendu,Agadir,
28,56,27,Einstein,Biographie,2024-05-29,2024-06-11,14,rendu,Oujda,
29,649,754,Les Fleurs du Mal - Tome 3,Poesie,2026-04-20,2026-04-24,14,rendu,Tanger,
30,700,153,Alcools - Tome 3,Poesie,2024-01-18,2024-01-20,14,rendu,Meknes,2.1
31,271,267,Le Journal d'un Gars - Tome 3,Jeunesse,2023-11-26,,21,perdu,Oujda,
32,727,318,Introduction a Python,Informatique,2023-03-23,2023-04-02,14,rendu,Casablanca,
33,641,617,Asterix,BD,2025-10-01,2025-11-02,21,rendu_en_retard,Fes,
34,534,140,Asterix - Tome 2,BD,2025-10-31,2025-11-09,14,rendu,Meknes,1.9
35,219,680,Les Enquetes d'Hercule Poirot - Tome 4,Policier,2024-11-09,2024-11-29,21,rendu,Oujda,
36,771,19,1984,Science-Fiction,2023-08-23,2023-09-13,21,rendu,Fes,
37,699,658,SQL pour les Nuls,Informatique,2025-02-20,2025-02-25,7,rendu,Tanger,3.1
38,789,768,Le Capital - Tome 4,Essai,2025-11-19,2025-11-29,30,rendu,Fes,1.3
39,99,343,Nelson Mandela,Biographie,2026-01-06,2026-01-08,7,rendu,Fes,
40,435,213,Asterix,BD,2024-02-26,2024-02-29,30,rendu,Marrakech,3.9
41,39,180,Les Miserables,Roman,2023-05-31,2023-06-03,7,rendu,Rabat,
42,234,530,Fahrenheit 451 - Tome 4,Science-Fiction,2025-04-14,2025-04-27,30,rendu,Meknes,2.6
43,122,1096,Les Miserables,Roman,2023-01-13,2023-01-18,7,rendu,Casablanca,
44,75,733,Le Petit Prince,Roman,2025-10-26,2025-11-01,7,rendu,Tanger,
45,289,897,Sapiens,Histoire,2025-02-20,2025-02-21,30,rendu,Oujda,1.9
46,765,801,Asterix - Tome 4,BD,2026-01-22,2026-01-27,21,rendu,Tanger,
47,747,765,Introduction a Python,Informatique,2023-01-23,2023-02-07,14,rendu_en_retard,Meknes,
48,88,625,Nelson Mandela,Biographie,2024-03-06,2024-03-27,21,rendu,Marrakech,1.9
49,259,398,Clean Code,Informatique,2023-08-23,2023-09-02,14,rendu,Casablanca,
50,563,945,Le Contrat Social - Tome 4,Essai,2026-08-13,2026-08-14,7,rendu,Tanger,3.9
51,499,678,Odes,Poesie,2025-01-01,2025-01-05,14,rendu,Rabat,1.3
52,199,651,Clean Code,Informatique,2025-09-22,2025-10-14,30,rendu,Tanger,
53,157,1159,Madame Bovary - Tome 4,Roman,2026-03-06,2026-03-20,21,rendu,Marrakech,2.0
54,227,894,Ainsi Parlait Zarathoustra,Essai,2024-07-20,2024-08-21,21,rendu_en_retard,Oujda,
55,368,626,Fondation,Science-Fiction,2025-09-24,2025-09-29,7,rendu,Rabat,
56,144,1104,Odes - Tome 5,Poesie,2024-02-07,2024-02-28,21,rendu,Rabat,
57,20,1039,Fondation,Science-Fiction,2026-07-17,2026-07-22,7,rendu,Meknes,
58,218,76,L'Etranger,Roman,2026-02-03,2026-02-21,21,rendu,Oujda,
59,153,750,Histoire de l'Islam - Tome 3,Histoire,2025-03-14,2025-03-24,14,rendu,Tanger,3.0
60,93,813,Odes,Poesie,2025-01-15,2025-01-22,7,rendu,Marrakech,
61,144,914,Sherlock Holmes,Policier,2023-11-23,2023-12-03,14,rendu,Marrakech,
62,496,735,Dune,Science-Fiction,2023-03-24,2023-03-28,14,rendu,Rabat,1.9
63,685,424,Histoire de l'Islam,Histoire,2025-11-26,2025-12-11,21,rendu,Casablanca,3.6
64,106,1068,Odes - Tome 1,Poesie,2026-07-21,2026-07-30,21,rendu,Marrakech,2.5
65,602,160,Alcools,Poesie,2025-11-24,2025-12-02,21,rendu,Meknes,4.5
66,499,988,Histoire de l'Islam,Histoire,2026-05-22,2026-05-24,7,rendu,Oujda,1.3
67,659,576,Odes - Tome 5,Poesie,2024-03-09,2024-03-15,14,rendu,Rabat,
68,425,677,Maigret,Policier,2023-08-21,2023-09-06,30,rendu,Fes,
69,663,842,Einstein,Biographie,2023-02-15,,14,perdu,Marrakech,
70,138,1050,Matilda - Tome 5,Jeunesse,2023-03-22,2023-04-14,14,rendu_en_retard,Marrakech,
71,416,1155,Steve Jobs - Tome 2,Biographie,2026-07-29,2026-08-04,7,rendu,Tanger,
72,222,920,Einstein - Tome 4,Biographie,2026-05-27,2026-06-02,30,rendu,Fes,
73,616,293,Le Petit Prince,Roman,2026-04-08,2026-04-17,14,rendu,Tanger,3.7
74,465,141,Le Petit Prince - Tome 5,Roman,2024-04-15,2024-04-19,30,rendu,Casablanca,4.4
75,517,860,Les Fleurs du Mal - Tome 4,Poesie,2023-11-03,2023-11-08,7,rendu,Casablanca,
76,545,1031,Les Fleurs du Mal - Tome 2,Poesie,2023-08-29,2023-08-31,7,rendu,Casablanca,
77,794,884,1984,Science-Fiction,2025-12-05,2025-12-07,30,rendu,Meknes,4.2
78,788,781,Le Journal d'un Gars,Jeunesse,2024-12-18,2024-12-21,7,rendu,Oujda,
79,86,581,L'Art de la Guerre - Tome 3,Essai,2026-05-10,2026-05-11,30,rendu,Casablanca,
80,121,1065,Matilda,Jeunesse,2023-01-15,2023-02-07,30,rendu,Agadir,
81,110,317,Le Capital - Tome 1,Essai,2025-05-22,2025-06-09,21,rendu,Meknes,
82,627,565,Illuminations - Tome 2,Poesie,2025-03-24,2025-04-06,14,rendu,Oujda,3.2
83,496,520,Le Contrat Social,Essai,2024-09-20,2024-10-03,21,rendu,Marrakech,
84,676,244,Tintin,BD,2024-04-15,2024-04-21,30,rendu,Rabat,2.6
85,347,1128,Les Schtroumpfs,BD,2026-06-11,2026-06-17,7,rendu,Casablanca,
86,149,966,Le Contrat Social,Essai,2026-05-14,2026-06-22,30,rendu_en_retard,Fes,3.4
87,742,788,Dune - Tome 4,Science-Fiction,2025-03-31,2025-04-20,21,rendu,Casablanca,
88,180,1013,Ibn Battuta,Biographie,2025-06-18,2025-06-24,7,rendu,Tanger,4.1
89,523,1057,Le Cimetiere Marin,Poesie,2024-04-19,2024-04-25,14,rendu,Fes,
